indicatorId,geoUnit,year,value,qualifier,magnitude
CR.3,ABW,2023,72.64077758789062,,
CR.3,ARM,2023,94.9622802734375,,
CR.3,AZE,2023,82.15354919433594,,
CR.3,BOL,2023,80.75283813476562,,
CR.3,BRA,2023,73.7,,
CR.3,BWA,2023,53.30757141113281,,
CR.3,COL,2023,75.1,,
CR.3,COL,2024,80.34829711914062,,
CR.3,CRI,2023,78.2,,
CR.3,DOM,2023,64.9,,
CR.3,ECU,2023,79.7,,
CR.3,GEO,2023,91.79625701904297,,
CR.3,GMB,2023,31.24684906005859,,
CR.3,"GPE: East Asia & Pacific WB FY24, December 2024",2023,47.09999999999999,,
CR.3,"GPE: East Asia & Pacific WB FY24, December 2024",2024,47.09999999999999,,
CR.3,"GPE: East Asia & Pacific WB FY24, December 2024",2025,47.5,,
CR.3,"GPE: Europe & Central Asia WB FY24, December 2024",2023,93.8,,
CR.3,"GPE: Europe & Central Asia WB FY24, December 2024",2024,94.19999999999999,,
CR.3,"GPE: Europe & Central Asia WB FY24, December 2024",2025,94.6,,
CR.3,"GPE: Fragile or Conflict-affected countries (FCAC) FY24, December 2024",2023,37.4,,
CR.3,"GPE: Fragile or Conflict-affected countries (FCAC) FY24, December 2024",2024,37.9,,
CR.3,"GPE: Fragile or Conflict-affected countries (FCAC) FY24, December 2024",2025,38.5,,
CR.3,"GPE: Latin America & Caribbean WB FY24, December 2024",2023,37,,
CR.3,"GPE: Latin America & Caribbean WB FY24, December 2024",2024,37.7,,
CR.3,"GPE: Latin America & Caribbean WB FY24, December 2024",2025,38.4,,
CR.3,"GPE: Low income WB FY24, December 2024",2023,18.9,,
CR.3,"GPE: Low income WB FY24, December 2024",2024,19.3,,
CR.3,"GPE: Low income WB FY24, December 2024",2025,19.7,,
CR.3,"GPE: Lower middle Income WB FY24, December 2024",2023,44.5,,
CR.3,"GPE: Lower middle Income WB FY24, December 2024",2024,45,,
CR.3,"GPE: Lower middle Income WB FY24, December 2024",2025,45.6,,
CR.3,"GPE: Middle East & North Africa WB FY24, December 2024",2023,41.4,,
CR.3,"GPE: Middle East & North Africa WB FY24, December 2024",2024,42.3,,
CR.3,"GPE: Middle East & North Africa WB FY24, December 2024",2025,43.2,,
CR.3,"GPE: Non Fragile & non Conflict-affected countries (NON-FCAC) FY24, December 2024",2023,37.3,,
CR.3,"GPE: Non Fragile & non Conflict-affected countries (NON-FCAC) FY24, December 2024",2024,37.6,,
CR.3,"GPE: Non Fragile & non Conflict-affected countries (NON-FCAC) FY24, December 2024",2025,38,,
CR.3,"GPE: Overall FY24, all 90 countries, December 2024",2023,37.4,,
CR.3,"GPE: Overall FY24, all 90 countries, December 2024",2024,37.8,,
CR.3,"GPE: Overall FY24, all 90 countries, December 2024",2025,38.3,,
CR.3,"GPE: Small island and landlocked developing states, December 2024",2023,62.6,,
CR.3,"GPE: Small island and landlocked developing states, December 2024",2024,63.6,,
CR.3,"GPE: Small island and landlocked developing states, December 2024",2025,64.60000000000001,,
CR.3,"GPE: South Asia WB FY24, December 2024",2023,32.3,,
CR.3,"GPE: South Asia WB FY24, December 2024",2024,33.3,,
CR.3,"GPE: South Asia WB FY24, December 2024",2025,34.2,,
CR.3,"GPE: Sub-Saharan Africa WB FY24, December 2024",2023,27.6,,
CR.3,"GPE: Sub-Saharan Africa WB FY24, December 2024",2024,28.1,,
CR.3,"GPE: Sub-Saharan Africa WB FY24, December 2024",2025,28.6,,
CR.3,"GPE: Upper middle Income WB FY24, December 2024",2023,55.8,,
CR.3,"GPE: Upper middle Income WB FY24, December 2024",2024,56.49999999999999,,
CR.3,"GPE: Upper middle Income WB FY24, December 2024",2025,57.2,,
CR.3,GTM,2023,47.7,,
CR.3,GTM,2024,23.09317970275879,,
CR.3,HND,2023,33.61722183227539,,
CR.3,HND,2024,40.27423858642578,,
CR.3,JOR,2023,64.57911682128906,,
CR.3,KEN,2024,65.02681732177734,,
CR.3,KGZ,2023,86.35987854003906,,
CR.3,LAO,2023,37.41080093383789,,
CR.3,LSO,2024,40.22864151000977,,
CR.3,MNG,2023,90.3030014038086,,
CR.3,NGA,2024,68.54698181152344,,
CR.3,NRU,2023,48.125,,
CR.3,PAN,2023,74.7,,
CR.3,PER,2023,90.2,,
CR.3,PER,2024,92.6169204711914,,
CR.3,PRI,2023,96.59066772460938,,
CR.3,PRY,2023,72.6,,
CR.3,PRY,2024,71.23367309570312,,
CR.3,SDG: Central and Southern Asia,2023,56.29999923706055,,
CR.3,SDG: Central and Southern Asia,2024,57.40000152587891,,
CR.3,SDG: Eastern and South-Eastern Asia,2023,72.5,,
CR.3,SDG: Eastern and South-Eastern Asia,2024,73.30000305175781,,
CR.3,SDG: Europe and Northern America,2023,89.0999984741211,,
CR.3,SDG: Europe and Northern America,2024,89.30000305175781,,
CR.3,SDG: Landlocked Developing Countries,2023,30.5,,
CR.3,SDG: Landlocked Developing Countries,2024,30.5,,
CR.3,SDG: Latin America and the Caribbean,2023,63.5,,
CR.3,SDG: Latin America and the Caribbean,2024,64.19999694824219,,
CR.3,SDG: Least Developed Countries,2023,22.70000076293945,,
CR.3,SDG: Least Developed Countries,2024,23.20000076293945,,
CR.3,SDG: Northern Africa and Western Asia,2023,58.59999847412109,,
CR.3,SDG: Northern Africa and Western Asia,2024,59.40000152587891,,
CR.3,SDG: Oceania,2023,60.79999923706055,,
CR.3,SDG: Oceania,2024,60.79999923706055,,
CR.3,SDG: Small Island Developing States,2023,42.90000152587891,,
CR.3,SDG: Small Island Developing States,2024,43.09999847412109,,
CR.3,SDG: Sub-Saharan Africa,2023,28.5,,
CR.3,SDG: Sub-Saharan Africa,2024,28.89999961853027,,
CR.3,SDG: World,2023,59,,
CR.3,SDG: World,2024,59.59999847412109,,
CR.3,SEN,2023,15.8010196685791,,
CR.3,SLV,2023,61.4,,
CR.3,TUN,2023,35.62709045410156,,
CR.3,URY,2023,51.7,,
CR.3,URY,2024,55.53794097900391,,
CR.3,USA,2023,92.84526824951172,,
CR.3,VUT,2023,23.08757019042969,,
CR.3,WB: High income (July 2025),2023,89,,
CR.3,WB: High income (July 2025),2024,89.19999694824219,,
CR.3,WB: Low income (July 2025),2023,19.89999961853027,,
CR.3,WB: Low income (July 2025),2024,20.29999923706055,,
CR.3,WB: Lower middle income (July 2025),2023,53.29999923706055,,
CR.3,WB: Lower middle income (July 2025),2024,54.20000076293945,,
CR.3,WB: Upper middle income (July 2025),2023,71.4000015258789,,
CR.3,WB: Upper middle income (July 2025),2024,72.19999694824219,,
CR.3,YEM,2023,36.56673812866211,,
CR.3,ZAF,2023,59.6890983581543,,
CR.3,ZAF,2024,62.21466827392578,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2023,18832174,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2023,4913372,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2023,11325131,,
ODAFLOW.VOLUMESCHOLARSHIP,ARG,2023,3408491,,
ODAFLOW.VOLUMESCHOLARSHIP,ARM,2023,5232840,,
ODAFLOW.VOLUMESCHOLARSHIP,AZE,2023,10276402,,
ODAFLOW.VOLUMESCHOLARSHIP,BDI,2023,4593813,,
ODAFLOW.VOLUMESCHOLARSHIP,BEN,2023,8518080,,
ODAFLOW.VOLUMESCHOLARSHIP,BFA,2023,7844678,,
ODAFLOW.VOLUMESCHOLARSHIP,BGD,2023,39609144,,
ODAFLOW.VOLUMESCHOLARSHIP,BIH,2023,3816201,,
ODAFLOW.VOLUMESCHOLARSHIP,BLR,2023,5580442,,
ODAFLOW.VOLUMESCHOLARSHIP,BLZ,2023,1641302,,
ODAFLOW.VOLUMESCHOLARSHIP,BOL,2023,1351074,,
ODAFLOW.VOLUMESCHOLARSHIP,BRA,2023,24425484,,
ODAFLOW.VOLUMESCHOLARSHIP,BTN,2023,3520422,,
ODAFLOW.VOLUMESCHOLARSHIP,BWA,2023,572615,,
ODAFLOW.VOLUMESCHOLARSHIP,CAF,2023,2038595,,
ODAFLOW.VOLUMESCHOLARSHIP,CHN,2023,23486854,,
ODAFLOW.VOLUMESCHOLARSHIP,CIV,2023,12866126,,
ODAFLOW.VOLUMESCHOLARSHIP,CMR,2023,14004249,,
ODAFLOW.VOLUMESCHOLARSHIP,COD,2023,6408903,,
ODAFLOW.VOLUMESCHOLARSHIP,COG,2023,8092051,,
ODAFLOW.VOLUMESCHOLARSHIP,COL,2023,7753798,,
ODAFLOW.VOLUMESCHOLARSHIP,COM,2023,9892889,,
ODAFLOW.VOLUMESCHOLARSHIP,CPV,2023,2253478,,
ODAFLOW.VOLUMESCHOLARSHIP,CRI,2023,1145872,,
ODAFLOW.VOLUMESCHOLARSHIP,CUB,2023,2097362,,
ODAFLOW.VOLUMESCHOLARSHIP,DJI,2023,2011684,,
ODAFLOW.VOLUMESCHOLARSHIP,DMA,2023,257916,,
ODAFLOW.VOLUMESCHOLARSHIP,DOM,2023,1240466,,
ODAFLOW.VOLUMESCHOLARSHIP,DZA,2023,29144264,,
ODAFLOW.VOLUMESCHOLARSHIP,ECU,2023,3276124,,
ODAFLOW.VOLUMESCHOLARSHIP,EGY,2023,20449992,,
ODAFLOW.VOLUMESCHOLARSHIP,ERI,2023,14494003,,
ODAFLOW.VOLUMESCHOLARSHIP,ETH,2023,22766878,,
ODAFLOW.VOLUMESCHOLARSHIP,FJI,2023,4669824,,
ODAFLOW.VOLUMESCHOLARSHIP,FSM,2023,61520,,
ODAFLOW.VOLUMESCHOLARSHIP,GAB,2023,3821058,,
ODAFLOW.VOLUMESCHOLARSHIP,GEO,2023,7126118,,
ODAFLOW.VOLUMESCHOLARSHIP,GHA,2023,13779504,,
ODAFLOW.VOLUMESCHOLARSHIP,GIN,2023,12502989,,
ODAFLOW.VOLUMESCHOLARSHIP,GMB,2023,8906923,,
ODAFLOW.VOLUMESCHOLARSHIP,GNB,2023,3520028,,
ODAFLOW.VOLUMESCHOLARSHIP,GNQ,2023,219939,,
ODAFLOW.VOLUMESCHOLARSHIP,GRD,2023,23512,,
ODAFLOW.VOLUMESCHOLARSHIP,GTM,2023,2992775,,
ODAFLOW.VOLUMESCHOLARSHIP,GUY,2023,1653930,,
ODAFLOW.VOLUMESCHOLARSHIP,HND,2023,1099318,,
ODAFLOW.VOLUMESCHOLARSHIP,HTI,2023,6891842,,
ODAFLOW.VOLUMESCHOLARSHIP,IDN,2023,60732796,,
ODAFLOW.VOLUMESCHOLARSHIP,IND,2023,59634404,,
ODAFLOW.VOLUMESCHOLARSHIP,IRN,2023,31314996,,
ODAFLOW.VOLUMESCHOLARSHIP,IRQ,2023,11458669,,
ODAFLOW.VOLUMESCHOLARSHIP,JAM,2023,407439,,
ODAFLOW.VOLUMESCHOLARSHIP,JOR,2023,21729904,,
ODAFLOW.VOLUMESCHOLARSHIP,KAZ,2023,19410804,,
ODAFLOW.VOLUMESCHOLARSHIP,KEN,2023,10825448,,
ODAFLOW.VOLUMESCHOLARSHIP,KGZ,2023,12642797,,
ODAFLOW.VOLUMESCHOLARSHIP,KHM,2023,19276238,,
ODAFLOW.VOLUMESCHOLARSHIP,KIR,2023,2401387,,
ODAFLOW.VOLUMESCHOLARSHIP,LAO,2023,12057022,,
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2023,12503148,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2023,5788864,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2023,6924726,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2023,100162,,
ODAFLOW.VOLUMESCHOLARSHIP,LKA,2023,12573232,,
ODAFLOW.VOLUMESCHOLARSHIP,LSO,2023,224674,,
ODAFLOW.VOLUMESCHOLARSHIP,MAR,2023,31248628,,
ODAFLOW.VOLUMESCHOLARSHIP,MDA,2023,53131232,,
ODAFLOW.VOLUMESCHOLARSHIP,MDG,2023,4832993,,
ODAFLOW.VOLUMESCHOLARSHIP,MDV,2023,3414316,,
ODAFLOW.VOLUMESCHOLARSHIP,MEX,2023,6975477,,
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2023,118273,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2023,2998024,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2023,8402135,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2023,13744472,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2023,1772764,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2023,13060323,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2023,3571236,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2023,3316311,,
ODAFLOW.VOLUMESCHOLARSHIP,MUS,2023,1277372,,
ODAFLOW.VOLUMESCHOLARSHIP,MWI,2023,1855238,,
ODAFLOW.VOLUMESCHOLARSHIP,MYS,2023,8114094,,
ODAFLOW.VOLUMESCHOLARSHIP,NAM,2023,545226,,
ODAFLOW.VOLUMESCHOLARSHIP,NER,2023,4111692,,
ODAFLOW.VOLUMESCHOLARSHIP,NGA,2023,18163812,,
ODAFLOW.VOLUMESCHOLARSHIP,NIC,2023,421342,,
ODAFLOW.VOLUMESCHOLARSHIP,NIU,2023,278694,,
ODAFLOW.VOLUMESCHOLARSHIP,NPL,2023,12507228,,
