Country,HS_age_population,HS_age_population_billion,HS_age_population_pct
China,13777100000.0,13.777,19.307
India,12867819000.0,12.868,18.033
United States of America,2770717000.0,2.771,3.883
Indonesia,2539521000.0,2.54,3.559
Brazil,2002351000.0,2.002,2.806
Pakistan,1981635000.0,1.982,2.777
Nigeria,1718444000.0,1.718,2.408
Bangladesh,1692736000.0,1.693,2.372
Russian Federation,1501651000.0,1.502,2.104
Mexico,1231440000.0,1.231,1.726
Japan,1189240000.0,1.189,1.667
Philippines,1038831000.0,1.039,1.456
Ethiopia,927468000.0,0.927,1.3
Egypt,900865000.0,0.901,1.262
Viet Nam,894347000.0,0.894,1.253
Iran (Islamic Republic of),761819000.0,0.762,1.068
Türkiye,760062000.0,0.76,1.065
Germany,729217000.0,0.729,1.022
Democratic Republic of the Congo,685796000.0,0.686,0.961
Thailand,679003000.0,0.679,0.952
United Kingdom,579109000.0,0.579,0.812
France,577269000.0,0.577,0.809
South Africa,552198000.0,0.552,0.774
Myanmar,548705000.0,0.549,0.769
Italy,538449000.0,0.538,0.755
Republic of Korea,510500000.0,0.51,0.715
Ukraine,495039000.0,0.495,0.694
United Republic of Tanzania,474702000.0,0.475,0.665
Colombia,470489000.0,0.47,0.659
Kenya,429989000.0,0.43,0.603
Argentina,405125000.0,0.405,0.568
Spain,397473000.0,0.397,0.557
Poland,396216000.0,0.396,0.555
Sudan,386699000.0,0.387,0.542
Algeria,372104000.0,0.372,0.521
Uganda,356830000.0,0.357,0.5
Morocco,354380000.0,0.354,0.497
Iraq,324845000.0,0.325,0.455
Peru,313652000.0,0.314,0.44
Afghanistan,311263000.0,0.311,0.436
Nepal,310641000.0,0.311,0.435
Canada,289214000.0,0.289,0.405
Uzbekistan,288815000.0,0.289,0.405
Venezuela (Bolivarian Republic of),287449000.0,0.287,0.403
Yemen,272163000.0,0.272,0.381
Malaysia,271332000.0,0.271,0.38
Ghana,266349000.0,0.266,0.373
Dem. People's Republic of Korea,262952000.0,0.263,0.368
Mozambique,251519000.0,0.252,0.352
"China, Taiwan Province of China",233574000.0,0.234,0.327
Sri Lanka,227004000.0,0.227,0.318
Madagascar,226264000.0,0.226,0.317
Romania,224830000.0,0.225,0.315
Angola,222522000.0,0.223,0.312
Côte d'Ivoire,216512000.0,0.217,0.303
Syrian Arab Republic,213510000.0,0.214,0.299
Cameroon,205714000.0,0.206,0.288
Kazakhstan,195878000.0,0.196,0.275
Australia,180756000.0,0.181,0.253
Mali,176848000.0,0.177,0.248
Burkina Faso,173771000.0,0.174,0.244
Chile,173578000.0,0.174,0.243
Saudi Arabia,173247000.0,0.173,0.243
Niger,168499000.0,0.168,0.236
Zimbabwe,163028000.0,0.163,0.228
Guatemala,158541000.0,0.159,0.222
Malawi,158260000.0,0.158,0.222
Ecuador,155904000.0,0.156,0.218
Netherlands,154226000.0,0.154,0.216
Cambodia,153181000.0,0.153,0.215
Zambia,150325000.0,0.15,0.211
Senegal,137696000.0,0.138,0.193
Somalia,126506000.0,0.127,0.177
Chad,123683000.0,0.124,0.173
Cuba,122169000.0,0.122,0.171
Rwanda,119892000.0,0.12,0.168
Guinea,115422000.0,0.115,0.162
Tunisia,114283000.0,0.114,0.16
Haiti,112199000.0,0.112,0.157
Bolivia (Plurinational State of),110757000.0,0.111,0.155
