Region,Variable,Value
East Asia (MER) ,Wealth,181233.8747
Eastern Europe (MER) ,GDP,37497.6628
Eastern Europe (MER) ,Wealth,157032.3524
Europe (MER) ,GDP,51288.7792
Europe (MER) ,Wealth,257487.6261
Latin America (MER) ,GDP,21213.6499
Latin America (MER) ,Wealth,78382.9755
Oceania (MER) ,GDP,48685.0331
Oceania (MER) ,Wealth,345140.6598
Other Russia & Central Asia (MER) ,GDP,19906.563
Other Russia & Central Asia (MER) ,Wealth,73307.6476
Other South & Southeast Asia (MER) ,GDP,21082.031
Other South & Southeast Asia (MER) ,Wealth,96688.2017
Other Sub-Saharan Africa (MER) ,GDP,5990.792
Other Sub-Saharan Africa (MER) ,Wealth,20396.3611
Other Western Europe (MER) ,GDP,62111.2748
Other Western Europe (MER) ,Wealth,317314.2907
Russia & Central Asia (MER) ,GDP,31388.2285
Russia & Central Asia (MER) ,Wealth,115614.4573
South & Southeast Asia (MER) ,GDP,12406.7881
South & Southeast Asia (MER) ,Wealth,52488.0146
Sub-Saharan Africa (MER) ,GDP,6923.4618
Sub-Saharan Africa (MER) ,Wealth,23559.3201
