Downloaded from wid.world on 25-10-2025 at 21:17:57
Country ;Percentile ;"anninc_992_i_2024
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2024)
2024";"agdpro_992_i_2024
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2024)
2024";"inyixx_999_i_2024
National income price index
Total population | index | all ages | individual |  | ppp | constant (2024)
2024"
 Afghanistan;pall;3399.8906;3621.2671;
 Albania;pall;15332.9169;18304.576;
 Algeria;pall;14893.244;16548.3293;
 Andorra;pall;55394.3914;61492.2371;
 Angola;pall;10306.9379;12498.2498;
 Anguilla;pall;101855.7627;113100.7211;
 Antigua and Barbuda;pall;25222.7632;30858.6938;
 Argentina;pall;24742.1474;29028.8779;
 Armenia;pall;17876.6318;21529.1858;
 Aruba;pall;37880.0021;43186.24;
 Australia;pall;52733.2161;64518.0842;
 Austria;pall;49511.2117;60776.575;
 Azerbaijan;pall;20755.1612;23692.189;
 Bahamas;pall;29944.4054;34643.4185;
 Bahrain;pall;48122.0884;54686.4624;
 Bangladesh;pall;9943.0615;11197.308;
 Barbados;pall;28236.3512;20226.8801;
 Belarus;pall;21458.0502;27919.6055;
 Belgium;pall;52526.1447;63039.3962;
 Belize;pall;12588.3321;15913.2155;
 Benin;pall;5687.4811;6245.9908;
 Bermuda;pall;143005.7651;93290.1745;
 Bhutan;pall;14523.3692;16883.27;
 Bolivia;pall;11253.5442;12512.4644;
 Bonaire, Sint Eustatius and Saba;pall;13323.1557;21971.661;
 Bosnia and Herzegovina;pall;16940.3064;19318.9411;
 Botswana;pall;18586.7499;23826.6108;
 Brazil;pall;17078.7215;20414.4882;
 British Virgin Islands;pall;49760.9857;42572.0139;
 Brunei Darussalam;pall;73311.8892;84602.0273;
 Bulgaria;pall;24932.4321;31189.3956;
 Burkina Faso;pall;3840.8202;4350.4668;
 Burundi;pall;1393.6544;1649.1199;
 Cabo Verde;pall;10231.713;11709.735;
 Cambodia;pall;7782.286;8729.4833;
 Cameroon;pall;7253.8821;7946.5061;
 Canada;pall;49211.3706;56127.2282;
 Cayman Islands;pall;121816.2842;78305.9926;
 Central African Republic;pall;2078.7701;2227.4353;
 Chad;pall;3464.9926;3766.4049;
 Channel Islands;pall;66739.1253;78331.806;
 Chile;pall;24365.8391;30432.1734;
 China;pall;18757.1918;22846.3025;
 Colombia;pall;16905.7877;19792.7738;
 Comoros;pall;5245.7345;5691.3506;
 Congo;pall;6973.1671;8845.2112;
 Costa Rica;pall;24187.9186;28097.6693;
 Cote d’Ivoire;pall;9809.2218;10596.554;
 Croatia;pall;32279.7178;38408.3083;
 Cuba;pall;20176.6047;23552.5295;
 Curacao;pall;20090.5274;23337.2104;
 Cyprus;pall;29940.5625;36031.892;
 Czech Republic;pall;34819.6067;47381.1688;
 DR Congo;pall;2347.844;2541.5237;
 Denmark;pall;63220.5811;73264.131;
 Djibouti;pall;7823.1319;8587.4616;
 Dominica;pall;17638.4509;18455.9634;
 Dominican Republic;pall;25655.9979;28591.0185;
 East Asia (MER);pall;21418.0991;25705.5741;
 East Asia (PPP);pall;21418.0559;25756.4926;
 Eastern Europe (MER);pall;30434.4298;37497.6628;
 Eastern Europe (PPP);pall;30434.4104;37393.8898;
 Ecuador;pall;13729.269;16404.2799;
 Egypt;pall;21437.9787;24025.6852;
 El Salvador;pall;12017.3227;13604.1341;
 Equatorial Guinea;pall;18632.1282;22625.3609;
 Eritrea;pall;2979.6568;3210.672;
 Estonia;pall;33195.4816;41088.8952;
 Ethiopia;pall;5021.209;5415.9217;
 Europe (MER);pall;43346.321;51288.7792;
 Europe (PPP);pall;43346.3526;51448.1772;
 Faroe Islands;pall;66829.2465;74954.557;
 Fiji;pall;13797.5085;16968.3961;
 Finland;pall;45285.3453;54341.6052;
 France;pall;47519.9596;54181.6954;
 French Polynesia;pall;23083.7016;22704.7573;
 Gabon;pall;18933.149;26687.6804;
 Gambia;pall;4418.7623;4807.8855;
 Georgia;pall;20786.7582;25405.0468;
 Germany;pall;49570.272;58103.0682;
 Ghana;pall;9316.0797;10288.4839;
 Gibraltar;pall;96666.0508;94821.6837;
 Greece;pall;31285.9468;36980.6529;
 Greenland;pall;63112.9242;75572.2681;
 Grenada;pall;14548.8589;18494.6609;
 Guatemala;pall;14729.0152;16820.9946;
 Guernsey;pall;143661.8953;87443.9199;
