School Name,Location,Latitude,Longitude
3e International School,"Beijing, China",40.190632,116.412144
5 Steps Academy,Singapore,1.357107,103.8194992
7 Hills International School,"Kampala, Uganda",0.3177137,32.5813539
7Hills International School,"Kampala, Uganda",0.3177137,32.5813539
A'Takamul International School,Kuwait,29.2733964,47.4979476
ABA - An IB World School,"Muscat, Oman",23.6123628,58.5938134
ABC Kindercare Centre,"Sofia, Bulgaria",42.6977028,23.3217359
ABC Private School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
ACG Parnell College,"Auckland, New Zealand",-36.852095,174.7631803
ACG School Jakarta,"Jakarta, Indonesia",-6.1754049,106.827168
ACG Senior College,"Auckland, New Zealand",-36.852095,174.7631803
ACG Strathallan,"Auckland, New Zealand",-36.852095,174.7631803
ACS (International),Singapore,1.357107,103.8194992
ACS (International) Singapore,Singapore,1.357107,103.8194992
"ACS (International), Singapore",Singapore,1.357107,103.8194992
ACS Doha International School,"Doha, Qatar",25.2856329,51.5264162
ACS Egham International School,United Kingdom,54.7023545,-3.2765753
ACS Hillingdon International School,United Kingdom,54.7023545,-3.2765753
ACS International School Doha,Qatar,25.3336984,51.2295295
ACS International School Egham,"London, United Kingdom",51.4893335,-0.1440551
ACS International Singapore,Singapore,1.357107,103.8194992
ACS Jakarta,"Jakarta, Indonesia",-6.1754049,106.827168
ADNOC Schools,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
AIA,"Alexandria, Egypt",31.1991806,29.8951716
AIE International High School,Japan,36.5748441,139.2394179
AIS Indonesia,"Jakarta, Indonesia",-6.1754049,106.827168
AL FARIS International School,Saudi Arabia,25.6242618,42.3528328
AMA International School,"Salmabad, Bahrain",26.1846,50.5253883
"AMA International School, Bahrain","Manama, Bahrain",26.2235041,50.5822436
AMADEUS International School Vienna,Austria,47.59397,14.12456
APG School,"Khamis, Bahrain",26.2081698,50.5483201
APU International School Ho Chi Minh City,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
Aarhus International School,"Aarhus, Denmark",56.1496278,10.2134046
Abbey DLD Suzhou,"Suzhou, China",31.311123,120.6212881
Abbotts College,"Cape Town, South Africa",-33.9288301,18.4172197
Abdul Rahman Kanoo International School,"Manama, Bahrain",26.2235041,50.5822436
Abington Friends School,"Jenkintown, United States of America",40.0959385,-75.1256812
Abraham Lincoln School,"La Romana, Dominican Republic",18.4230137,-68.9661104
Abroad International School - Okayama,"Okayama, Japan",34.8581334,133.7759256
Abroad International School - Osaka,"Osaka, Japan",34.6937569,135.5014539
Abroad International School Osaka,"Kyoto / Osaka / Kobe, Japan",34.8038694,135.5156628
Abu Dhabi Grammar School Canada,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Abu Dhabi International Private School,United Arab Emirates,24.0002488,53.9994829
Abu Dhabi International School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Abuja Preparatory School,"Abuja, Nigeria",9.0643305,7.4892974
Academia BritÃ¡nica Cuscatleca,"Santa Tecla, El Salvador",13.673752,-89.2885987
Academia Los Pinares,"Tegucigalpa, Honduras",14.1058135,-87.2047053
Academie Laurentienne,"Quebec, Canada",52.4760892,-71.8258668
Academy International,"Warsaw, Poland",52.2319581,21.0067249
Academy International British Primary School,"Port Harcourt, Republic of the Congo",,
Academy International Elementary School,United States of America,39.7837304,-100.445882
Access International Academy Ningbo,China,35.000074,104.999927
Acorns Nursery,"Bucharest, Romania",44.4361414,26.1027202
Acton Academy Bucharest,"Bucharest, Romania",44.4361414,26.1027202
Acton Academy Taipei,"Taipei, Taiwan",25.0375198,121.5636796
Adana Gundogdu College,"Adana, Türkiye",36.9863599,35.3252861
Adcote School Shanghai,"Shanghai, China",31.2312707,121.4700152
Adelaide High School,"Adelaide, Australia",-34.9281805,138.5999312
Adelaide Secondary School of English,"West Croydon, Australia",-34.8890035,138.5590316
Adorable British College,"Enugu, Nigeria",6.4496519,7.5136856
Africa International College,"Abuja, Nigeria",9.0643305,7.4892974
African Leadership Academy,"Johannesburg, South Africa",-26.205,28.049722
Aga Khan Academy,"Mombasa, Kenya",-4.05052,39.667169
Aga Khan Academy – Mombasa,"Mombasa, Kenya",-4.05052,39.667169
Aga Khan Academy – Nairobi,"Nairobi, Kenya",-1.2890006,36.8172812
Agora International School Andorra,Andorra,42.5407167,1.5732033
Agora International School Barcelona,"Barcelona, Spain",41.3825802,2.177073
Agora International School Madrid,"Madrid, Spain",40.416782,-3.703507
Agora Portals International School,"Mallorca, Spain",39.613432,2.8829185
Agora Sant Cugat International School,"Barcelona, Spain",41.3825802,2.177073
Ahmedabad International School,India,22.3511148,78.6677428
Aiglon College,"Lausanne, Switzerland",46.5218269,6.6327025
Ajial Bilingual School,Kuwait,29.2733964,47.4979476
Ajman Academy International School,"Ajman, United Arab Emirates",25.5091287,55.3619072
Ajman Modern School,"Dubai, United Arab Emirates",25.0742823,55.1885387
Ajyal International School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Ajyal International School - Al Falah,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Akshar Ãrbol International School,India,22.3511148,78.6677428
Akua School,"Barcelona, Spain",41.3825802,2.177073
Al Ain Academy,"Al Ain, United Arab Emirates",24.2248697,55.7452211
Al Alameen International School,"Riyadh, Saudi Arabia",23.333333,45.333333
Al Basma British School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Bateen Academy,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Batinah International School,Oman,21.0000287,57.0036901
Al Bayan Educational Complex for Girls,"Doha, Qatar",25.2856329,51.5264162
Al Dhafra Private School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Hekma International School,"Adliya, Bahrain",26.2138794,50.5861658
Al Hekma International School Bahrain,"Manama, Bahrain",26.2235041,50.5822436
Al Injaz Private School,"Muscat, Oman",23.6123628,58.5938134
Al Ittihad Private School Jumeira,"Dubai, United Arab Emirates",25.0742823,55.1885387
Al Ittihad Private School Mamzar,"Dubai, United Arab Emirates",25.0742823,55.1885387
Al Jazeera Academy,"Doha, Qatar",25.2856329,51.5264162
Al Khor International School,"Doha, Qatar",25.2856329,51.5264162
Al Maha Academy For Girls,"Doha, Qatar",25.2856329,51.5264162
Al Mahd Day Boarding School,"Manama, Bahrain",26.2235041,50.5822436
Al Mahd International School,"Doha, Qatar",25.2856329,51.5264162
Al Mamoura Academy,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Mawakeb School,"Dubai, United Arab Emirates",25.0742823,55.1885387
Al Mizhar American Academy,"Dubai, United Arab Emirates",25.0742823,55.1885387
Al Muna Academy,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Muna Primary School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Mustaqbal School,"Ramallah, Palestinian Territory",31.8978012,35.1924223
Al Nahda National School for Boys,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Nahda National School for Girls,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Nahda National Schools,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Najah Private School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Noor International School,"Manama, Bahrain",26.2235041,50.5822436
Al Noor International School,"Riyadh, Saudi Arabia",23.333333,45.333333
Al Rabeeh Academy,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Rabeeh School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Rawabi Private School,"Manama, Bahrain",26.2235041,50.5822436
Al Sahwa School,"Muscat, Oman",23.6123628,58.5938134
Al Salam Community School,"Dubai, United Arab Emirates",25.0742823,55.1885387
Al Salam Private School,"Dubai, United Arab Emirates",25.0742823,55.1885387
Al Shohub Private School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Siraat College,"Epping, Australia",-37.6523847,145.0315487
Al Yasmina Academy,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al Yasmina School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Al-Arqam Academy,"Doha, Qatar",25.2856329,51.5264162
Al-Bassam Schools,"Dammam, Saudi Arabia",26.4367824,50.1039991
Al-Bayan Bilingual School,Kuwait,29.2733964,47.4979476
Al-Bayan International School,Kuwait,29.2733964,47.4979476
Al-Beruniy International School,"Tashkent, Uzbekistan",41.3123363,69.2787079
Al-Ibdaa International School,"Muscat, Oman",23.6123628,58.5938134
Al-Kawthar International Schools,Saudi Arabia,25.6242618,42.3528328
Al-Rayan International School,Ghana,8.0300284,-1.0800271
Al-Resala Bilingual School,"Mahboula, Kuwait",29.1490219,48.1210101
Al-Yasmin International School,"Riyadh, Saudi Arabia",23.333333,45.333333
Alabuga International School,Russia,64.6863136,97.7453061
Albanian College,"Durres, Albania",41.313255,19.4462348
Albert International Academy,"Phnom Penh, Cambodia",11.5730391,104.857807
Alcanta International College,"Guangzhou, China",23.1301964,113.2592945
Alexandra House School,"Floreal, Mauritius",-20.3110617,57.5134651
Alice Smith School,"Kuala Lumpur, Malaysia",3.1526589,101.7022205
Aljazari International Schools of Science and Technology,"Istanbul, Türkiye",41.006381,28.9758715
Aljezur International School,"Algarve, Portugal",37.2449218,-8.1959563
Alkev Schools,"Istanbul, Türkiye",41.006381,28.9758715
Alma Mater International School,"Johannesburg, South Africa",-26.205,28.049722
Almeena International School,"Riyadh, Saudi Arabia",23.333333,45.333333
Alruwad International School,"Muscat, Oman",23.6123628,58.5938134
Alto International School,"San Francisco / Bay, United States of America",37.7140291,-122.3077942
Amadeus International School Vienna,"Vienna, Austria",48.2083537,16.3725042
Ambrosoli International School,"Kampala, Uganda",0.3177137,32.5813539
American Academy For Girls,"Hawalli, Kuwait",29.3236609,48.1153148
American Academy School,"Doha, Qatar",25.2856329,51.5264162
American Academy School,"Limassol, Cyprus",34.6852901,33.0332657
American Academy for Girls,Kuwait,29.2733964,47.4979476
American Academy in Prague,"Prague, Czech Republic",50.0596288,14.4464593
American College Arcus Ltd.,Bulgaria,42.6073975,25.4856617
American College of Sofia,Bulgaria,42.6073975,25.4856617
American Community School of Abu Dhabi,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
"American Community School, Abu Dhabi",United Arab Emirates,24.0002488,53.9994829
American Community Schools of Athens,"Athens, Greece",37.9755648,23.7348324
American Community Schools of Athens,Greece,38.9953683,21.9877132
American Cooperative School,"La Paz, Bolivia",-16.4955455,-68.1336229
American Creativity Academy,Kuwait,29.2733964,47.4979476
American Embassy School,India,22.3511148,78.6677428
American German School,Kuwait,29.2733964,47.4979476
American Institute of Monterrey,"Monterrey, Mexico",25.6802019,-100.315258
American International Montessori School,"San Francisco / Bay, United States of America",37.7140291,-122.3077942
American International School,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
American International School,"Hong Kong, China",22.350627,114.1849161
American International School - Main Campus,"Cairo, Egypt",30.0443879,31.2357257
American International School - West Campus,"Cairo, Egypt",30.0443879,31.2357257
American International School Chennai,"Chennai, India",13.0836939,80.270186
American International School Dhaka,Bangladesh,24.4769288,90.2934413
"American International School Egypt, West","Sheikh Zayed City, Egypt",30.048347,30.9832235
American International School Lusaka,"Lusaka, Zambia",-15.4163395,28.2818414
American International School Riyadh,"Riyadh, Saudi Arabia",23.333333,45.333333
American International School Vienna,"Vienna, Austria",48.2083537,16.3725042
American International School Vietnam,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
American International School Vietnam (AISVN),Vietnam,15.9266657,107.9650855
American International School in Abu Dhabi,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
American International School in Cyprus,Cyprus,34.9174159,32.8899027
"American International School in Egypt, West Campus","Cairo, Egypt",30.0443879,31.2357257
American International School of Abuja,"Abuja, Nigeria",9.0643305,7.4892974
American International School of Bamako,"Bamako, Mali",12.6132655,-7.9847391
American International School of Bolivia,Bolivia,-17.0568696,-64.9912286
American International School of Brazzaville,"Brazzaville, Republic of the Congo",-4.2694407,15.2712256
American International School of Bucharest,"Bucharest, Romania",44.4361414,26.1027202
American International School of Cape Town,"Cape Town, South Africa",-33.9288301,18.4172197
American International School of Conakry,"Conakry, Guinea",9.5170602,-13.6998434
American International School of Costa Rica,"San Jose, Costa Rica",9.9327707,-84.0796144
American International School of Kingston,Jamaica,18.1850507,-77.3947693
American International School of Lagos,"Lagos, Nigeria",6.4550575,3.3941795
American International School of Lesotho,"Maseru, Lesotho",-29.310054,27.478222
American International School of Libreville,"Libreville, Gabon",0.4086518,9.4418849
American International School of Lusaka,Zambia,-14.5189121,27.5589884
American International School of Monrovia,"Monrovia, Liberia",6.328034,-10.797788
American International School of Mozambique,Mozambique,-19.302233,34.9144977
American International School of Nouakchott,"Nouakchott, Mauritania",18.0792379,-15.9780071
American International School of Vilnius,Lithuania,55.3500003,23.7499997
American International School of Vilnius,"Vilnius, Lithuania",54.6870458,25.2829111
American International School of Zagreb,Croatia,45.3658443,15.6575209
American Lyceum International School,"Muscat, Oman",23.6123628,58.5938134
American Pacific International School,"Phnom Penh, Cambodia",11.5730391,104.857807
American Paradigm Schools,"Philadelphia, United States of America",39.9527237,-75.1635262
American School Beverly Hills Cairo,"Cairo, Egypt",30.0443879,31.2357257
American School Foundation of Monterrey,"Monterrey, Mexico",25.6802019,-100.315258
American School Hongkong,Hong Kong,22.350627,114.1849161
American School Milan,Italy,42.6384261,12.674297
American School in London,"London, United Kingdom",51.5074456,-0.1277653
American School of Antananarivo,Madagascar,-18.9249604,46.4416422
American School of Asuncion,"Asuncion, Paraguay",-25.2800459,-57.6343814
American School of Bombay,India,22.3511148,78.6677428
American School of Brasilia,"Brasilia, Brazil",-10.3333333,-53.2
American School of Brasilia (EAB),Brazil,-10.3333333,-53.2
American School of Dubai,"Dubai, United Arab Emirates",25.0742823,55.1885387
American School of Guatemala,"San Jose, Guatemala",16.9817477,-89.9005479
American School of Madrid,"Madrid, Spain",40.416782,-3.703507
American School of Milan,"Milan, Italy",45.4641943,9.1896346
American School of Paris,"Paris, France",48.8534951,2.3483915
American School of Recife,"Recife, Brazil",-8.0584933,-34.8848193
