School Name,City,Country,URL
Good Hope Country Day School,Frederiksted,-,
International Learning Group School (ILG School),Pristina,-,
Robinson School,San Juan,-,
Two Boats School,Ascension,-,
Virgin Islands Montessori School & Peter Gruber International Academy,St. Thomas,-,
Albania International School,Tirana,Albania,
Albanian College,Durres,Albania,
British School of Tirana,Tirana,Albania,
Memorial International School of Tirana,Tirana,Albania,
British School Algiers,Algiers,Algeria,
English School Community of Luanda,Luanda,Angola,
Luanda International School,,Angola,
Luanda international School,Samba,Angola,
"Omololu International School, Inc.",,Anguilla,
Asociacion Escuelas Lincoln,Buenos Aires,Argentina,
Barker College,Buenos Aires,Argentina,
Bartolomé Mitre Day School,Buenos Aires,Argentina,
Bede's Grammar School,Buenos Aires,Argentina,
Belgrano Day School,Buenos Aires,Argentina,
Buenos Aires International Christian Academy,Buenos Aires,Argentina,
Florence Nightingale School,Buenos Aires,Argentina,
Glasgow College,Buenos Aires,Argentina,
Goethe Schule,Buenos Aires,Argentina,
Islands International School,,Argentina,
Lincoln School,Buenos Aires,Argentina,
Lycée Franco-Argentin Jean Mermoz,Buenos Aires,Argentina,
Northern International School,Buenos Aires,Argentina,
Northlands School,Buenos Aires,Argentina,
Pestalozzi Schule,Buenos Aires,Argentina,
Riverside School,Buenos Aires,Argentina,
Saint Gregory's College,Buenos Aires,Argentina,
Saint Gregory's School,Buenos Aires,Argentina,
Southern International School,,Argentina,
St Andrew's Scots School,Buenos Aires,Argentina,
St George's College,Buenos Aires,Argentina,
St George's College North,Buenos Aires,Argentina,
St George's College Quilmes,Buenos Aires,Argentina,
St Hilda's College,Buenos Aires,Argentina,
St Mathew's College,Buenos Aires,Argentina,
St Paul's College Hurlingham,Buenos Aires,Argentina,
St. Alban's College,Buenos Aires,Argentina,
St. Andrew's Scots School,Buenos Aires,Argentina,
St. Catherine's,Buenos Aires,Argentina,
St. Catherine's Moorlands School,Buenos Aires,Argentina,
St. Hilda's College,Buenos Aires,Argentina,
St. John's School,Buenos Aires,Argentina,
St. Mary's International College,,Argentina,
St. Matthew's College,Buenos Aires,Argentina,
United High School,Buenos Aires,Argentina,
Washington School,Buenos Aires,Argentina,
CIS Armenia International School,Yerevan,Armenia,
Shirakatsy Lyceum International Scientific-Educational Complex CJSC,,Armenia,
UWC Dilijan,Dilijan,Armenia,
UWC Dilijan College,Dilijan,Armenia,
International School of Aruba,Oranjestad,Aruba,
Adelaide High School,Adelaide,Australia,
Adelaide Secondary School of English,West Croydon,Australia,
Al Siraat College,Epping,Australia,
Aquinas College,Ringwood,Australia,
Australian International Academy of Education,,Australia,
"Australian International Academy, Kellyville",,Australia,
"Australian International Academy, Sydney, Strathfield Campus",,Australia,
Ballarat Clarendon College,Victoria,Australia,
Banksia Park International High School,Banksia Park,Australia,
